序號,詞語,級別,注音,漢拼,詞類/性質,詞彙英譯,語義/義項,情境,用法-常用搭配詞,例句
1,愛,第1級,ㄞˋ,ài,Vs,to love,,核心詞,,我愛你。他很愛吃水果。
2,愛,第1級,ㄞˋ,ài,N,love,,核心詞,,爸爸媽媽對孩子的愛很多。
3,八,第1級,ㄅㄚ,bā,N,eight,8,核心詞,八個，八張，八年,他買了八個包子。
4,爸爸/爸,第1級,ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ,bàba / bà,N,father,,核心詞,,我爸爸喜歡看電影。爸爸，生日快樂。
5,吧,第1級,˙ㄅㄚ,ba,Ptc,"final particle( for confirming, request )",,核心詞,走吧,你是從英國來的吧？我們一起去運動吧！
6,百,第1級,ㄅㄞˇ,bǎi,N,hundred,100,核心詞,一百個人，三百六十五天，一百五十分鐘，一百塊,一年有三百六十五天。
7,半,第1級,ㄅㄢˋ,bàn,N,half,,核心詞,半個，半杯，半個鐘頭,我吃了半個麵包。我喝了半杯咖啡。我休息半個鐘頭。
8,本,第1級,ㄅㄣˇ,běn,M,"classifier for books, periodicals, files, etc.",,核心詞,一本書，這本書,老師送給我三本書。
9,不,第1級,ㄅㄨˋ,bù,Adv,not,,核心詞,不是，不要，不會，不好，不去，不漂亮，不喜歡,他不是學生。我不會說英文。他不喜歡吃麵。明天不上課。
10,茶,第1級,ㄔㄚˊ,chá,N,tea,,10.餐飲、烹飪,一杯茶,你有時間坐下來喝杯茶嗎？
11,車/車子,第1級,ㄔㄜ / ㄔㄜ ˙ㄗ,chē / chēzi,N,"car, vehicle",,核心詞,一輛車，上車，下車，開車，車上,我買了一輛新車。這條路上的車子很多。你在車上等我，我去買水。我要在這一站下車。
12,吃,第1級,ㄔ,chī,V,"to eat, to have (food)",,核心詞,吃飯，吃飽，吃藥;;,今天晚餐要吃什麼？我吃飽了！感冒要吃藥才會好。
13,吃飯,第1級,ㄔ ㄈㄢˋ,chīfàn,V,"to eat, to have a meal",,核心詞,回家吃飯，吃了飯,今天晚上要不要一起去吃飯？吃飯以前要洗手。
14,吃飯,第1級,ㄔ ㄈㄢˋ,chīfàn,Phrase,to eat rice,,核心詞,,今天你想吃飯還是吃麵？
15,打,第1級,ㄉㄚˇ,dǎ,V,"to play (baseball, basketball, bowling, computer games, mobile games, etc.)",,核心詞,打球,我們明天要去打球。
16,打,第1級,ㄉㄚˇ,dǎ,V,to call,,核心詞,打電話,我晚上打電話給你。
17,打,第1級,ㄉㄚˇ,dǎ,V,"to beat, to hit",,核心詞,打人,你不應該打人。
18,大,第1級,ㄉㄚˋ,dà,Vs,"big, large",,核心詞,大杯，大房子,我們學校很大。他買了一輛很大的車。我們今天在大教室上課。
19,大,第1級,ㄉㄚˋ,dà,Vs,older,,核心詞,大五歲,姐姐比我大五歲。
20,大家,第1級,ㄉㄚˋ ㄐㄧㄚ,dàjiā,N,"everybody, everyone",,核心詞,大家一起,大家好！我給大家介紹台灣的小吃。
21,大學,第1級,ㄉㄚˋ ㄒㄩㄝˊ,dàxué,N,university,,8.教育、學習,……大學，念大學，上大學,他在大學學中文。
22,帶,第1級,ㄉㄞˋ,dài,V,"to bring, to take",,核心詞,帶著＋N，帶＋N來，外帶,我今天沒帶手機。這杯咖啡，你要外帶嗎？
23,帶,第1級,ㄉㄞˋ,dài,V,to lead,,核心詞,帶＋人去＋地方,媽媽帶孩子去公園玩。
24,到,第1級,ㄉㄠˋ,dào,V,to arrive,,核心詞,到家,十分鐘以後我就到家了。
25,到,第1級,ㄉㄠˋ,dào,Prep,to,,核心詞,到學校去，到台灣來,我要到學校去上課。
26,的,第1級,ㄉㄜ˙,de,Ptc,possession marker,,核心詞,我的筆，姊姊的工作,你的書在桌子上。這個是媽媽的杯子。
27,的,第1級,ㄉㄜ˙,de,Ptc,modifier marker,,核心詞,學校裡的學生，今天的功課，甜的水果，高高的鼻子吃的東西，教中文的老師,這家餐廳的東西很好吃。今天的晚餐吃什麼？他有一雙大大的眼睛。我昨天看的電影很好看。會說中文的外國人不少。
28,弟弟/弟,第1級,ㄉㄧˋ ˙ㄉㄧ / ㄉㄧˋ,dìdi / dì,N,younger brother,,核心詞,兩個弟弟,我有兩個弟弟。他是我弟弟。
